LSOA21CD,COA,ACS,OPS,WIC,WAL,GRQ,URB,DIS,DRN,CRN,DUN,LOU,DIU,REU,MEU,HDU,OUT,n_lsoa11_sources,signature_dominant_code,signature_dominant_type
E01000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,DIU,Concentrated urbanity
E01000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,DIU,Concentrated urbanity
E01000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,DIU,Concentrated urbanity
E01000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35972703967622743,0.06551043748937264,0.5747625228344,0.0,0.0,1,MEU,Metropolitan urbanity
E01000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007765902113639414,0.9922340978863605,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods
E01000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8227025238100548,0.17729747618994515,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods
E01000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods
E01000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods
E01000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10412195765166783,0.8958780423483322,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods
E01000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods
E01000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028545948272640334,0.8580691361257368,0.14164540439153675,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods
E01000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9390638596280689,0.06093614037193097,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods
E01000015,0.0,0.0,0.0011184029389522067,0.0,0.0,0.0,0.0,0.02284636770552976,0.7086190050609464,0.13698423481817115,0.13043198947640036,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods
E01000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648408103974922,0.35159189602507795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods
E01000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07162152278649953,0.9283784772135004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods
E01000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36731305822373944,0.5540488667914913,0.07863807498476916,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods
E01000019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04216306843914213,0.9578369315608579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods
E01000020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods
E01000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods
E01000022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods
E01000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods
E01000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006650151256292463,0.9378179421616534,0.055531906582054286,0.0,0.0,0.0,0.0,0.0,0.0,1,CRN,Connected residential neighbourhoods
E01000027,0.0,0.0,0.0,0.0,0.9772563590210004,0.0,0.0,0.0,0.022743640978999672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAL,Warehouse/Park land
E01000028,0.0,0.0,0.0,0.0,0.8787283008859603,0.0,0.0,0.0,0.12127169911403964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAL,Warehouse/Park land
E01000029,0.0,0.0,3.0213534828621217e-05,0.0,0.049194655999467374,0.0,0.0,0.0,0.9507751304657039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods
E01000030,0.0,0.0,0.0,0.0,0.4277417725504959,0.0,0.0,0.0,0.572258227449504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods
E01000031,0.0,0.0,0.3115318117475688,0.0,0.4466713443654415,0.0,0.0,0.0,0.24179684388698983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,WAL,Warehouse/Park land
E01000032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods
E01000033,0.0,0.0,0.916027279842457,0.0,0.0,0.0,0.0,0.03749494289598691,0.046477777261556136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl
E01000034,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl
E01000035,0.0,0.0,0.5159820023811321,0.0,0.048558269188187377,0.0,0.0,0.0,0.43545972843068037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl
E01000036,0.0,0.0,0.6921697597282137,0.0,0.018947912136560045,0.0,0.0,0.01877967674953486,0.27010265138569156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl
E01000037,0.0,0.0,0.9965154515212821,0.0,0.0,0.0,0.0,0.0,0.003484548478717901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl
E01000038,0.0,0.009157398398228501,0.7654017263885767,0.0,0.0017535247311194668,0.0,0.0,0.0,0.22368735048207533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl
E01000039,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,OPS,Open sprawl
E01000040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2575434725354867,0.0,0.7424565274645133,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods
E01000041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6497829552362808,0.11367788303130778,0.2365391617324114,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods
E01000042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9420641272251248,0.04782808999968176,0.010107782775193527,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods
E01000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9440572079276726,0.0,0.05594279207232739,0.0,0.0,0.0,0.0,0.0,0.0,1,DRN,Dense residential neighbourhoods
E01000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004957543653181068,0.0,0.995042456346819,0.0,0.0,0.0,0.0,0.0,0.0,1,DUN,Dense urban neighbourhoods
