cluster,rank,feature,standardized_mean_difference,cluster_mean_share,global_mean_share
0,1,boardings_Weekday_1440,0.3524578204452253,0.008276091784979994,0.00669114943072247
0,2,boardings_Sunday_1440,0.3524578204452253,0.008276091784979994,0.00669114943072247
0,3,alightings_Weekday_1560,0.2833778867238486,0.002835020400870851,0.002082717064330045
0,4,alightings_Sunday_1560,0.2833778867238486,0.002835020400870851,0.002082717064330045
0,5,boardings_Saturday_1440,0.27494857451437577,0.0064517942317070046,0.005115914777111226
0,6,boardings_Weekday_1380,0.27366587552930927,0.018840490236363496,0.0164118169125592
0,7,alightings_Weekday_1080,-0.26643270571431127,0.11182405401987343,0.11890644144401044
0,8,alightings_Sunday_1500,0.2643750490063055,0.004684017653219469,0.003771548616516189
0,9,alightings_Weekday_1500,0.2643750490063055,0.004684017653219469,0.003771548616516189
0,10,boardings_Weekday_1560,0.26296687572165184,0.0025228601491579473,0.0018601288289614322
1,1,boardings_Sunday_1620,-0.588031674048461,0.0005356188280977037,0.0027692325264963395
1,2,boardings_Weekday_1620,-0.588031674048461,0.0005356188280977037,0.0027692325264963395
1,3,alightings_Weekday_1560,-0.5877016307238414,0.0005225039411554997,0.002082717064330045
1,4,alightings_Sunday_1560,-0.5877016307238414,0.0005225039411554997,0.002082717064330045
1,5,boardings_Saturday_1680,-0.5756186092729075,0.0014072403680198584,0.005682487964401148
1,6,boardings_Weekday_1560,-0.5643903444543776,0.00043774756113082984,0.0018601288289614322
1,7,boardings_Sunday_1560,-0.5643903444543776,0.00043774756113082984,0.0018601288289614322
1,8,alightings_Sunday_1500,-0.5637973219346071,0.0018256478926196216,0.003771548616516189
1,9,alightings_Weekday_1500,-0.5637973219346071,0.0018256478926196216,0.003771548616516189
1,10,boardings_Saturday_1620,-0.5367054392137947,0.0004976366593243698,0.0028433644362131387
2,1,boardings_Sunday_1680,0.8132475331072222,0.013483471375788876,0.006982498545268392
2,2,boardings_Weekday_1680,0.8132475331072222,0.013483471375788876,0.006982498545268392
2,3,boardings_Saturday_1680,0.8046533270563934,0.011658827413821321,0.005682487964401148
2,4,boardings_Weekday_1620,0.7934294281131545,0.005783040995596059,0.0027692325264963395
2,5,boardings_Sunday_1620,0.7934294281131545,0.005783040995596059,0.0027692325264963395
2,6,alightings_Weekday_1620,0.7860810877809289,0.003999459609912901,0.00186870345419786
2,7,alightings_Sunday_1620,0.7860810877809289,0.003999459609912901,0.00186870345419786
2,8,boardings_Saturday_1620,0.7690990193346411,0.006204792886563768,0.0028433644362131387
2,9,alightings_Weekday_1680,0.740752902110028,0.005512524891712122,0.002534014021633923
2,10,alightings_Sunday_1680,0.740752902110028,0.005512524891712122,0.002534014021633923
