NLC,cluster,max_posterior,entropy,tot_entry,tot_exit,total_activity,Station,Fare Zone,easting,northing,lon,lat,catchment_area_m2,station_in_lnwc_extent,lnwc_1_share,lnwc_2_share,lnwc_3_share,lnwc_4_share,lnwc_5_share,lnwc_6_share,lnwc_7_share,covered_area_m2,lnwc_coverage_ratio,analysis_eligible,dominant_lnwc,lnwc_entropy_normalized,exclusion_reason,imd_score,imd_covered_area_m2,total_catchment_area_m2,imd_coverage_ratio,total_activity_metric,log_total_activity,direction_balance,midnight_share_common_window,night_tube_extension_share,common_window_persistence,weekend_common_ratio,volume_band,distance_to_centre_km
500,0,1.0,1.181470643379288e-37,5913.695163326618,14018.011921536674,19931.70708486329,Acton Town,3,519477.6064,179592.1471,-0.2800217640856027,51.50264555083834,1525596.0802807177,True,0.0049216372754645,0.4627749439036822,0.0069417437449463,0.2541374181110774,0.2712242569648296,0.0,0.0,1525596.080280732,1.0000000000000095,True,2.0,0.5751881779626851,,21.575132754042357,1525596.0822670748,1525596.0802807175,1.0000000013020205,19931.707084863283,9.900117233629755,-0.4066042473785248,0.0478428670795634,0.0856030654478587,0.0754671459637347,0.8606663913080502,medium,10.685404159149039
501,3,1.0,3.9968049417465697e-125,11049.72327684,6330.322317268003,17380.045594108,Barbican,1,532004.2025,181856.329700001,-0.0987999629121527,51.520208600153815,506176.4778921927,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,506176.4778921934,1.000000000000001,True,1.0,-0.0,,14.042067947616422,506176.4785440002,506176.4778921927,1.000000001287708,17380.045594108,9.763135557775504,0.2715413451603327,0.0196241072362688,0.0030242846023453,0.0289725246312853,0.5786905917405434,medium,2.3833087155279156
502,3,1.0,3.637571621732165e-50,12244.379849940393,13127.939881514514,25372.319731454907,Aldgate,1,533613.1509,181262.295499999,-0.0758489668880275,51.51449244157986,308165.20598731784,True,0.9416568191251304,0.0583431808748696,0.0,0.0,0.0,0.0,0.0,308165.2059873244,1.000000000000021,True,1.0,0.1142828604266375,,17.431908956374038,308165.2063815474,308165.20598731784,1.0000000012792798,25372.31973145491,10.141453496672003,-0.0348237780749206,0.0252125253540988,0.0011259831342128,0.0379643771206456,0.718626561852749,medium,3.5895266993420356
503,2,1.0,2.118088457146785e-18,25196.40203101999,26446.2887469,51642.69077791999,Aldgate East,1,533936.1921,181374.788000001,-0.07115364166807,51.51542691621208,814631.3044966705,True,0.5203725390333945,0.45242168628545,0.0272057746811554,0.0,0.0,0.0,0.0,814631.3044966361,0.9999999999999578,True,1.0,0.4094768678951777,,26.65565111501337,814631.3055401725,814631.3044966705,1.00000000128095,51642.690777920005,10.852123313706397,-0.0242025869886391,0.0357460228481148,0.0055808327194924,0.0567115139724642,0.9715872266803496,high,3.930427267645119
505,4,0.973294497992638,0.1230966731444956,2726.357168859186,7092.771858705201,9819.129027564388,Alperton,4,517996.164,183795.164000001,-0.299949349972513,51.540730963558445,1805377.1462870107,True,0.0,0.1123749185551941,0.0220347708656301,0.7066091507607548,0.1525901138749586,0.0063910459434623,0.0,1805377.1462870128,1.000000000000001,True,4.0,0.459558492342367,,26.392237451614747,1805377.1486498213,1805377.1462870107,1.0000000013087629,9819.129027564388,9.192189540525368,-0.4446845211615567,0.0418735033586676,0.0126601953871513,0.0618501173884954,0.6830609290046609,low,12.609410741101232
507,1,1.0,5.848511862032458e-24,31737.71886116,25901.40646412001,57639.12532528001,Angel,1,531560.5615,183099.9257,-0.1047264384023203,51.53148758749647,1761536.3705778252,True,0.6067575314496387,0.3788877551289278,0.0,0.0143547134214333,0.0,0.0,0.0,1761536.3705778029,0.9999999999999872,True,1.0,0.3760630845325539,,22.937671652615755,1761536.3728451596,1761536.3705778252,1.0000000012871346,57639.12532528,10.961974224387292,0.101256088882394,0.0333334412160701,0.0016221041040503,0.0541395500013579,0.9995170764451784,high,3.072216525279845
508,0,1.0,1.4920640344016498e-39,9954.105804043724,19429.07578368006,29383.181587723782,Archway,2/3,529363.5176,186721.2423,-0.1350520245238837,51.56453819250787,1675114.1441306842,True,0.061389909921678,0.7777710602310909,0.0785081314139885,0.0352707127840676,0.0470601856491748,0.0,0.0,1675114.1441306933,1.000000000000005,True,2.0,0.4256879255025222,,24.73474574545666,1675114.1462978693,1675114.1441306842,1.0000000012937538,29383.18158772377,10.288211767296763,-0.3224623566154241,0.0385168401682111,0.0535156528883775,0.0594346891371752,0.7869622795228649,high,6.388871615599986
509,0,1.0,7.563927093776893e-39,3121.476679486484,9686.938155317,12808.414834803483,Arnos Grove,4,529355.1742,192497.914799999,-0.1330451742909319,51.61645247794506,1866175.6874052533,True,0.0,0.0,0.0,0.055354853408868,0.7740056169445595,0.1706395296465725,0.0,1866175.687405239,0.9999999999999925,True,5.0,0.3392774189571216,,19.23731247627513,1866175.6898265174,1866175.6874052533,1.000000001297447,12808.414834803483,9.457935713504192,-0.512589696735197,0.0473234208235082,0.0706297407645615,0.0728189197409532,0.8076543921912906,medium,12.143914754163116
510,0,1.0,7.745299364641327e-57,2788.6440344604034,6681.370309785282,9470.014344245688,Arsenal,2,531305.0253,186112.096899999,-0.1072853032769284,51.55861585603557,1080849.6750288152,True,0.0134941640734067,0.6680217417582686,0.3184840941683247,0.0,0.0,0.0,0.0,1080849.6750287984,0.9999999999999843,True,2.0,0.3556208173290196,,24.496903160962027,1080849.676419898,1080849.6750288152,1.0000000012870272,9470.014344245688,9.155991291768895,-0.4110581181632777,0.0416753791554409,0.0589532698304804,0.0658047065624402,0.7795247513301725,low,5.851469927976903
511,3,1.0,2.2573291944203717e-25,51064.58130176767,23898.36473050797,74962.94603227565,Baker Street,1,527954.6729,182063.567500001,-0.1570581597729946,51.5230020037108,826930.1649370067,True,0.3761614104903645,0.0,0.0,0.6238385895096354,0.0,0.0,0.0,826930.1649370403,1.0000000000000406,True,4.0,0.3402796579810559,,10.646355600605483,826930.1660052012,826930.1649370067,1.0000000012917591,74962.94603227565,11.224762557366091,0.362395263382034,0.0309190431703475,0.0285076311505231,0.045736296897985,0.7351039335757854,high,2.754493469016398
